rating,number_of_reviews,name
0.0,0,MTH 309 Introduction to Linear Algebra (Deutsch)
0.0,0,Algebra - I
0.0,0,Computational Number Theory and Algebra
4.5,2,Introduction à la statistique avec R
0.0,0,"Groups: Motion, symmetry and puzzles"
0.0,0,Matrix Analysis with Applications
0.0,0,Real Analysis I
0.0,0,Non-parametric Statistical Inference
0.0,0,Constrained and unconstrained optimization
0.0,0,Computational Commutative Algebra
0.0,0,Calculus of Several Real Variables
0.0,0,Introduction to Abstract Group Theory
5.0,1,Introduction to Abstract and Linear Algebra
0.0,0,Complex Analysis
0.0,0,Mathematical Portfolio Theory
0.0,0,Essential Mathematics for Machine Learning
0.0,0,Laplace Transform
0.0,0,Differential Calculus
0.0,0,Introduction au raisonnement mathématique : préparation à l'entrée dans l'enseignement supérieur
0.0,0,Mathematical Modelling: Analysis and Applications
4.0,4,Statistics in Education for Mere Mortals
0.0,0,Applied Multivariate Analysis
